,0
gaze,16
deeply,16
six,16
asking,16
gasped,16
paper,16
tip,16
T,16
asleep,16
owl,16
aware,16
minute,16
Burrow,16
jumped,16
desperately,16
suggested,16
badly,16
waved,16
attacked,16
Because,16
Granger,16
follow,16
forest,16
everybody,16
Galleons,16
laughing,16
Burkes,16
Hufflepuff,16
annoyed,16
Was,16
break,16
surely,16
points,16
die,16
muttering,16
Demelza,16
Fat,16
Lady,16
werewolf,16
brain,15
particular,15
explain,15
chosen,15
act,15
marble,15
itself,15
prepared,15
Muggles,15
striding,15
meeting,15
mad,15
Still,15
uncomfortable,15
Anyway,15
Named,15
unless,15
mass,15
aside,15
worse,15
nearest,15
placed,15
spectacles,15
anxiously,15
flash,15
note,15
answered,15
gazing,15
staggered,15
huge,15
hot,15
third,15
twelve,15
path,15
moon,15
halfway,15
interest,15
mead,15
ignoring,15
rolled,15
finish,15
age,15
changed,15
carefully,15
final,15
spite,15
teaching,15
approached,15
Hi,15
direction,15
Mum,15
fighting,15
slip,15
afternoon,15
lit,15
Pansy,15
roared,15
tower,15
overheard,15
screamed,15
bin,15
dormitory,15
poison,15
map,15
unpleasant,14
loss,14
Even,14
knees,14
extra,14
secret,14
serious,14
live,14
hasn,14
sleep,14
panted,14
warning,14
further,14
moments,14
easy,14
examining,14
shrugged,14
S,14
flat,14
hiding,14
paused,14
plan,14
invitation,14
raising,14
save,14
wished,14
calmly,14
teach,14
useful,14
months,14
helped,14
attack,14
strode,14
today,14
force,14
complete,14
joke,14
received,14
reach,14
throwing,14
stunned,14
offer,14
obviously,14
disappointed,14
seventeen,14
birthday,14
village,14
anywhere,14
velvet,14
pretending,14
crystal,14
frightened,14
shocked,14
cave,14
hardly,14
swirling,14
Neither,14
gleaming,14
broom,14
worried,14
Molly,14
heading,14
instructions,14
fall,14
See,14
Malkin,14
bowed,14
spotted,14
solid,14
backward,14
considered,14
play,14
dungeon,14
teeth,14
daughter,14
sprinted,14
bezoar,14
memories,13
needed,13
tomorrow,13
murder,13
swept,13
thank,13
hopefully,13
grass,13
carried,13
lamp,13
murmured,13
fly,13
By,13
sneered,13
Will,13
lifted,13
Would,13
chain,13
snake,13
Aurors,13
impatiently,13
calling,13
peering,13
appearance,13
blond,13
blackened,13
Please,13
midair,13
tipped,13
heads,13
