,0
LAMENT,1
LESSONS,1
LET,1
LEVEL,1
LIGHTNING,1
LITTLE,1
LL,2
LORD,1
Lack,1
Lady,16
Langlockl,1
Large,1
Last,3
Late,2
Later,2
Laughing,2
Lav,2
Lavender,55
Law,11
Leaky,5
Lean,2
Leanne,20
Leave,3
Leaving,2
Lee,1
Left,1
Leg,1
Legilimency,6
Legilimens,1
Legs,1
Lemme,1
Less,2
Lessons,1
Lestrange,10
Let,21
Levi,1
Levicorpus,4
Levicorpusl,1
Liaison,3
Liar,1
Libatius,3
Liberacorpus,1
Life,2
Lights,1
Like,7
Liked,1
Likewise,1
Lily,7
Listen,17
Little,7
Lived,1
Living,2
Loads,1
Locker,1
Lockhart,1
Locking,1
London,10
Longbottom,9
Longer,1
Look,33
Looked,1
Looking,5
Looks,1
Loony,5
LooooooonyV,1
Lord,100
Los,1
Loser,2
Losing,3
Lost,3
Loud,1
Love,2
Lovegood,5
Lovely,2
Lucius,22
Luck,2
Luckily,2
Lucky,4
Lumos,3
Luna,60
Lupin,63
Lurgy,2
M,4
MAGIC,1
MAKE,1
MARKS,1
MASTER,1
ME,2
MEMORY,1
MILE,1
MILES,1
MINISTER,1
MINISTRY,2
MRS,1
MUM,1
MURDER,3
MY,1
Macmillan,8
Mad,5
Madam,66
Madame,1
Made,1
Mag,1
Magic,42
Magical,17
Magick,1
Magnificent,1
Make,3
Making,28
Maladies,3
Malfoy,372
Malfoys,4
Malkin,14
Many,5
Map,10
Marauder,10
Marauders,1
March,3
Marcus,3
Marietta,2
Mark,31
Martha,1
Marvolo,21
Master,9
Maxime,1
May,7
Maybe,21
McGonagall,84
McLag,1
McLaggen,68
Me,4
Meaning,1
Meanwhile,6
Medals,2
Melinda,1
Mend,1
Merchieftainess,1
Merlin,5
Mermish,2
Merope,32
Merry,1
Merrythought,3
Metamorph,2
Metamorphosing,1
Michael,3
Middle,1
Midgen,1
Migh,1
Might,1
Mimbulus,1
Mind,3
Mine,1
Minerva,3
Miniature,1
Minister,131
Ministers,1
Ministry,119
Mischief,1
Misinformation,1
Miss,10
Missed,1
Missing,1
Mistakes,1
Mmmm,1
Moaning,10
Molly,14
Mollywobbles,1
Momentarily,1
Moments,1
Monday,6
Montague,3
Montgomery,1
Moody,3
More,4
Moreover,2
Morfin,63
Most,11
Moste,1
Mostly,1
Mother,5
Mount,1
Move,1
Moving,1
Mphf,1
Mr,101
Mrs,156
Much,1
Mudblood,6
Mudbloods,1
Muffliato,5
MuffliatoV,1
Mugg,1
Muggle,58
Muggles,15
Mulciber,1
Mum,15
Mumbling,1
Mumll,1
Mundungus,22
Mungo,10
Murdered,1
Muriel,3
Must,17
Mustering,1
My,45
Myrtle,17
Mystery,1
N,13
NATION,1
NO,1
NOT,1
Nagini,2
Nah,1
Named,15
Narcissa,50
Narcisscd,1
Nasty,2
Natural,1
Naturally,7
Near,1
Nearby,1
Nearly,10
Neither,14
Nettles,1
Network,1
Never,9
Nevertheless,4
Neville,74
New,4
Newly,1
Next,2
Nice,9
Nick,6
Nicked,2
Nigellus,6
Night,3
No,198
Nobility,1
Nobody,17
None,6
Nonsense,1
Nonverbal,1
Nope,1
Nor,2
Norfolk,1
Normal,1
Norris,3
North,1
Nosebleed,1
Not,63
Nothin,1
Nothing,18
Nott,5
Nougat,1
Now,69
Nvbl,1
Nymphadora,3
O,19
OF,6
ON,1
ONE,1
OPALS,1
OR,1
ORDINARY,1
OTHER,1
OUCH,2
OUT,1
OVERHEARD,1
Oath,1
Object,2
Objects,2
Obliviator,1
Obliviators,1
Observing,1
Obviously,5
Occasionally,1
Occlumency,6
Occlumens,3
Octavius,1
October,1
Odd,2
Odo,2
Of,49
Off,1
Office,6
Ogden,68
Oh,166
Oho,5
Ohol,1
Oi,4
Okay,7
Old,3
Ollivander,4
Ominously,1
On,19
Once,26
One,48
Only,12
Ooooh,1
Oops,1
Open,3
Oppugno,1
Or,23
Order,21
Other,2
Otherwise,1
Otter,1
Ouch,3
Our,9
Out,7
Outside,2
Outstanding,7
Outstandings,2
Over,3
Overall,1
Overindulged,1
Ow,1
Owl,3
P,5
PHLEGM,1
PHOENIX,1
POO,1
POTTER,1
PRINCE,3
PROTECTING,1
Page,729
Panicked,1
Pansy,15
Parents,1
Parkinson,7
Parlor,1
Parry,1
Parselmouth,2
Parselmouths,1
Parseltongue,9
Parsnips,1
Particular,1
Particularly,1
Party,1
Parvati,17
Pass,2
Pastille,1
Patches,1
Patented,2
Pathetic,1
Patil,6
Patronus,6
Patronuses,1
Payment,1
Peakes,11
Peeves,13
Peevsie,1
Pekingese,1
Pensieve,26
People,11
Pepper,1
Perce,1
Percy,21
Perfect,1
Perhaps,20
Permit,1
Perplexed,2
Personally,6
Peru,1
Peruvian,1
Peter,2
Petrificus,5
Pettigrew,2
Petunia,10
Peverell,1
Pheasant,1
Philpott,1
Phineas,8
Phlegm,8
Phoenix,9
Pick,3
Pigwidgeon,4
Pince,4
Pip,1
Pity,1
Place,6
Plank,2
Please,13
Pleased,2
Plenty,1
Plimpies,1
Pointing,2
Polite,1
Poltergeist,1
Polyjuice,6
Pomfrey,31
Pomona,1
Poo,2
Poor,3
Pops,3
Portkeys,1
Possibly,1
Potion,34
Potioneers,1
Potions,50
Potter,827
Potty,5
Pouring,1
Powder,3
Prang,1
Praying,1
Precisely,3
Preposterous,1
Present,1
President,3
Pretending,1
Pretty,3
Prime,99
Prince,801
PrinceV,1
Princes,1
Principles,1
Private,1
Privet,7
Probably,1
Probe,1
Probity,1
Professor,281
Professors,2
Project,1
Promise,1
Property,1
Prophecy,3
Prophet,27
Prophets,2
Protect,1
Protective,2
Protegol,1
Proudfoot,1
Prove,1
Puddifoot,2
Puff,5
Puffs,4
Puked,1
Puking,1
Pumpkin,1
Pure,1
Purplish,1
Pushing,3
Put,1
Pygmy,9
Quaffle,7
Queen,1
Quest,1
Quibbler,3
Quick,4
Quickly,2
Quid,1
Quidditch,53
Quiet,1
Quietly,1
Quintessence,2
Quirrell,3
Quite,6
R,5
REDUCTOl,1
REQUEST,1
RESULTS,1
REUSABLE,1
RIDDLE,1
ROOM,1
Rage,1
Rain,1
Raising,1
Ralph,1
Ravenclaw,13
Ravenclaws,6
Re,1
Reactions,1
Ready,1
Really,12
Reckon,1
Reductol,1
Refilling,1
Regulation,2
Regulus,3
Relashiol,1
Released,1
Remember,2
Remembering,2
Remind,1
Remus,12
Renewed,1
Renneruate,1
Rennervatel,1
Reparo,4
Report,1
Requesting,1
Requirement,31
Revelaspell,1
Revelio,1
Reveliol,1
Review,1
Rheumatism,1
Riddle,111
Riddles,4
Righ,3
Right,24
Rigidly,1
Risking,1
Rita,1
Ritchie,1
Road,1
Robards,1
Robbed,1
Robins,4
Romilda,18
Ron,877
Ronald,5
Ronl,1
Room,32
Roonil,2
Rosalind,1
Rosier,1
Rosmerta,21
Rotfang,2
Rowling,729
Rubbing,1
Rubbish,1
Rubeus,1
Rufus,20
Rumors,2
Run,1
Rune,1
Runes,5
Rupert,2
S,14
SAFETY,1
SCRIMGEOUR,1
SECRET,1
SECTUMSEMPRA,1
SECTUMSEMPRAl,2
SEER,1
SENSATION,1
SHOULD,1
SICK,1
SILVER,1
SLUG,1
SLUGGISH,1
SLUGHORN,1
SNAPE,1
SPELL,1
SPINNER,1
STOP,1
STRUCK,1
STUDENTS,1
SUCCEEDS,1
SURPRISES,1
SWING,1
Sad,1
Said,3
